,RiskFree_Rate_1Month_Forward
0,0.3580066525456594
1,0.3546759089848909
2,0.35599600515676044
3,0.35756665867943477
4,0.35686911232041696
5,0.3412184766669551
6,0.339548090654146
7,0.3431346153801724
8,0.3413620527073048
9,0.33577920719831916
10,0.32072810518879064
11,0.30986577139579036
12,0.31327139019403566
13,0.2898753413977316
14,0.2636360938841063
15,0.2382798590563835
16,0.2269594005193765
17,0.21496660995267164
18,0.21155988950100427
19,0.21276489043485236
20,0.21836289755716234
21,0.2351848296634864
22,0.251611716627461
23,0.26928866121754347
24,0.27248571528878524
25,0.27473985036040244
26,0.2824664669639186
27,0.3020953292810326
28,0.3149352824445485
29,0.33522306356760884
30,0.3542097084665998
31,0.36354507649585077
32,0.3772552760102972
33,0.38765957041752747
34,0.40111581548565983
35,0.4537021797272942
36,0.4062755591473014
37,0.38805324427581944
38,0.3835853738335973
39,0.3773595009328746
40,0.37556656582253356
41,0.37159966478563955
42,0.361848812601947
43,0.35330695352461644
44,0.3470251404477608
45,0.31996411903516636
46,0.293861772989256
47,0.3258599234683887
48,0.27567308315306815
49,0.2641741331750439
50,0.2706158670896644
51,0.26787284729785255
52,0.2712921774889495
53,0.2786949310617828
54,0.27304404506763985
55,0.2734370101805451
56,0.2687197145951472
57,0.263733892026838
58,0.26200660356070127
59,0.26754417279429676
60,0.2423870764684571
61,0.22695347113431627
62,0.218224655253606
63,0.2056007088920514
64,0.20144844092674646
65,0.18663936587947688
66,0.1794656369822302
67,0.17334097372648266
68,0.1679358275966233
69,0.16688256788112554
70,0.1703160200110672
71,0.1795601398354619
72,0.16993194973979886
73,0.17041869999693887
74,0.16435889422616834
75,0.1614333082843864
76,0.1619906938066089
77,0.16258775451395885
78,0.16837988907448576
79,0.16884651597138461
80,0.17230940808234813
81,0.17426995703417678
82,0.17021312623600537
83,0.17661060175386972
84,0.17118943929103034
85,0.17084013309463145
86,0.17091115568824053
87,0.17252755609548706
88,0.16965512329177534
89,0.1693080725686155
90,0.16974423517546583
91,0.16852347401020612
92,0.16938739309521575
93,0.1734488532380698
94,0.17832907398459638
95,0.20555388785937426
96,0.19964620759913831
97,0.20136789298986105
98,0.2063003127738424
99,0.21842734649651147
100,0.2245666021303081
101,0.23184757100587375
102,0.23968348703466694
103,0.24764742717586136
104,0.257816440448249
105,0.26849926756460635
106,0.27797141513526596
107,0.3219519766065072
108,0.2951332942052548
109,0.2962056785418352
110,0.30449627461176687
111,0.3101686151791178
112,0.31596098898992137
113,0.32324199938439574
114,0.3316375598386456
115,0.340823194405404
116,0.3609584153597031
117,0.36991118045218213
118,0.3773251630239851
119,0.4469145573597793
120,0.3792429026648722
121,0.3635940078158794
122,0.35660690805365713
123,0.36150577681213514
124,0.3781595884986316
125,0.3873648052753919
126,0.39305438404647436
127,0.3982220738808893
128,0.3983047529234642
129,0.40335545920333726
130,0.3977064825518923
131,0.37175520982684523
132,0.2850094645933055
133,0.2033893175631575
134,0.1464443246572567
135,0.11940753862480374
136,0.1103107842956501
137,0.0964568975517275
138,0.0797550893712288
139,0.07014651171779861
140,0.06155591100958399
141,0.05442449409538049
142,0.043247770093659876
143,0.04300897688457536
144,0.04224907766115547
145,0.035479154666845696
146,0.03140721898563704
147,0.029695446201411027
148,0.02926401661217227
149,0.03206487420980092
150,0.03948732178725543
151,0.04590227468784001
152,0.05363673941599433
153,0.05951522571649164
154,0.06002096840922125
155,0.06502158861439081
156,0.06891351440059129
157,0.06895899125758184
158,0.07311282568631984
159,0.0799959537728305
160,0.08995992954646957
161,0.09797389476886503
162,0.10770995282287431
163,0.11056142746043901
164,0.10844639047965458
165,0.10896638905503199
166,0.10806876378679701
167,0.11843899882999752
168,0.10368518496163766
169,0.0893663811220782
170,0.0775564973576767
171,0.06474819678764653
172,0.052427013493756246
173,0.046730750759548675
174,0.03859265155481391
175,0.029352490806364897
176,0.019768286930403632
177,0.012731942014047747
178,0.006978904628195619
179,0.00711329603881093
180,0.004393901190365205
181,0.006129825274478173
182,0.00789712390246659
183,0.008941400467771348
184,0.006245030630113923
185,0.003862093757313832
186,0.005726221928130795
187,0.0008531212235057849
188,0.004191634537819809
189,0.008641672610188595
190,0.005061234631199676
191,0.012684441067178413
192,0.01224616119121423
193,0.013210653130737215
194,0.016401455765277427
195,0.019281789324078813
196,0.01825405959477255
197,0.018512637581668486
198,0.01520841052181905
199,0.010932389614483453
200,0.008041505218678309
201,0.00535574011930231
202,0.006011347011173628
203,0.0035711494577911696
204,0.0033276909749804648
205,0.0034639956645032997
206,0.0017186332750054089
207,-0.0004178069490011363
208,-0.0022305592338417476
209,-0.002988681273095804
210,-0.006340619734858975
211,-0.005634596133137191
212,-0.008108110430804283
213,-0.009853657996759151
214,-0.01214192874668949
215,-0.014762892094076045
216,-0.016436492540369
217,-0.017957804816025717
218,-0.02277630616993509
219,-0.02583667689061408
220,-0.02725857177193278
221,-0.0298801989059839
222,-0.02999728335812858
223,-0.030791743434123584
224,-0.030448575385871212
225,-0.033362115763297145
226,-0.031161702830967877
227,-0.033813120782189246
228,-0.032412569896261664
229,-0.03355502175215481
230,-0.03477186810822689
231,-0.03589674131474489
232,-0.034562671476666446
233,-0.03162342858756868
234,-0.030412802301466504
235,-0.03495996239848098
236,-0.03605308259278833
237,-0.035149611023011826
238,-0.03415990398331379
239,-0.03829936148507857
240,-0.03530622193352186
241,-0.034754208186997364
242,-0.03333418952422741
243,-0.03558986457901168
244,-0.034183693729749456
245,-0.03226917165644971
246,-0.03509925997873725
247,-0.03307415526564032
248,-0.033315993528287215
249,-0.034077193745873924
250,-0.03236159994690621
251,-0.04080732040684969
252,-0.03610744398777316
253,-0.03450147883656484
254,-0.034653562670396224
255,-0.03239143147166154
256,-0.03249882807752982
257,-0.03347169494619054
258,-0.031441377752780754
259,-0.03536817277247439
260,-0.037865336351530894
261,-0.03800284543319474
262,-0.03866769351759818
263,-0.04237811721104399
264,-0.037516913817278126
265,-0.04009708286966477
266,-0.03701557273558298
267,-0.03305198066281106
268,-0.032588128874231695
269,-0.03252569584402361
270,-0.03488205146491298
271,-0.039480866820647435
272,-0.04529282818457174
273,-0.04558544092259736
274,-0.04785189359644885
275,-0.050521596382667316
276,-0.05026136664352232
277,-0.04728965267508444
278,-0.04954566037211834
279,-0.04804350811276025
280,-0.04868926286831241
281,-0.049652636074778454
282,-0.049370143413561045
283,-0.04971689904911103
284,-0.0512046515607248
285,-0.051309586491878466
286,-0.05106974855381235
287,-0.03790682175250898
288,-0.0005830543510521801
